TSE,epoch
84.822342,0
84.631333,1
84.036116,2
83.688039,3
83.363483,4
82.953089,5
82.677207,6
82.269725,7
81.809820,8
81.352266,9
81.170919,10
80.823553,11
80.588895,12
80.281564,13
79.928191,14
79.457184,15
79.285618,16
79.022936,17
78.702622,18
78.353668,19
77.945844,20
77.750793,21
77.394181,22
77.171937,23
76.942382,24
76.532069,25
76.283950,26
76.078679,27
75.777163,28
75.562169,29
75.267219,30
74.975508,31
74.819114,32
74.616970,33
74.350983,34
73.990544,35
73.554762,36
73.324928,37
73.153875,38
72.913816,39
72.729731,40
72.497743,41
72.258273,42
71.889139,43
71.721834,44
71.489993,45
71.300084,46
71.055802,47
70.792513,48
70.640252,49
70.377981,50
70.242115,51
70.097442,52
69.764477,53
69.653433,54
69.481005,55
69.243523,56
68.980328,57
68.730367,58
68.579438,59
68.462269,60
68.399411,61
68.204106,62
67.993283,63
67.807989,64
67.623111,65
67.408309,66
67.301693,67
67.093210,68
66.990206,69
66.771132,70
66.608877,71
66.489237,72
66.285438,73
66.156314,74
65.946497,75
65.916135,76
65.781233,77
65.634645,78
65.583921,79
65.395368,80
65.305059,81
65.157686,82
65.067011,83
65.002718,84
64.830423,85
64.623949,86
64.449519,87
64.318179,88
64.164803,89
64.055194,90
64.002442,91
63.894659,92
63.848231,93
63.805193,94
63.655374,95
63.550759,96
63.441198,97
63.315831,98
63.198761,99
63.084186,100
63.024553,101
62.907110,102
62.755045,103
62.699501,104
62.679313,105
62.642164,106
62.436062,107
62.317085,108
62.244258,109
62.194335,110
62.179417,111
62.051876,112
61.948032,113
61.860432,114
61.843421,115
61.818538,116
61.735402,117
61.647224,118
61.639815,119
61.566463,120
61.467956,121
61.430063,122
61.324833,123
61.210030,124
61.237021,125
61.273685,126
61.279437,127
61.304330,128
61.265991,129
61.290921,130
61.278603,131
61.277762,132
61.232118,133
61.232424,134
61.167432,135
61.129141,136
61.044483,137
60.906457,138
60.787237,139
60.697448,140
60.577964,141
60.498563,142
60.392835,143
60.175433,144
60.012657,145
59.831349,146
59.760241,147
59.670104,148
59.562724,149
59.340085,150
59.125064,151
58.894590,152
58.813507,153
58.834352,154
58.849047,155
58.861085,156
58.855078,157
58.793031,158
58.792084,159
58.753065,160
58.634935,161
58.610837,162
58.511706,163
58.497362,164
58.464293,165
58.402632,166
58.356690,167
58.296402,168
58.222542,169
58.218440,170
58.143973,171
58.045947,172
58.014540,173
57.992214,174
57.942027,175
57.901995,176
57.932465,177
57.948407,178
57.928265,179
57.897839,180
57.900729,181
57.865204,182
57.778132,183
57.746037,184
57.741889,185
57.703356,186
57.699450,187
57.666289,188
57.618289,189
57.627399,190
57.587795,191
57.576182,192
57.549270,193
57.511619,194
57.461844,195
57.411436,196
57.271818,197
57.207680,198
57.190463,199
57.147346,200
57.113066,201
57.101536,202
57.097927,203
57.089309,204
57.029857,205
57.007794,206
56.924049,207
56.828270,208
56.694828,209
56.656759,210
56.592131,211
56.589319,212
56.537328,213
56.477620,214
56.470668,215
56.458859,216
56.436674,217
56.406856,218
56.384082,219
56.347548,220
56.366650,221
56.355234,222
56.276569,223
56.207149,224
56.165732,225
56.148876,226
56.105308,227
56.003975,228
55.941155,229
55.913400,230
55.852843,231
55.825401,232
55.861282,233
55.826187,234
55.792877,235
55.784489,236
55.767748,237
55.765129,238
55.731591,239
55.685589,240
55.684963,241
55.653374,242
55.591369,243
55.510133,244
55.467280,245
55.549481,246
55.575699,247
55.532051,248
55.487269,249
55.497514,250
55.513149,251
55.495132,252
55.484068,253
55.451911,254
55.428933,255
55.428188,256
55.392625,257
55.399882,258
55.380757,259
55.340286,260
55.351133,261
55.330532,262
55.287612,263
55.260998,264
55.288342,265
55.239041,266
55.164335,267
55.113605,268
55.106998,269
55.101731,270
55.067505,271
55.043019,272
55.015643,273
54.996958,274
54.932491,275
54.954549,276
54.945432,277
54.892815,278
54.851848,279
54.826168,280
54.833784,281
54.823754,282
54.798623,283
54.825721,284
54.823468,285
54.786645,286
54.788771,287
54.749291,288
54.737658,289
54.733940,290
54.696899,291
54.655958,292
54.670652,293
54.660373,294
54.658074,295
54.652998,296
54.678098,297
54.712726,298
54.690267,299
54.628631,300
54.625953,301
54.563398,302
54.526060,303
54.555103,304
54.533642,305
54.517565,306
54.460444,307
54.416982,308
54.377412,309
54.352640,310
54.317550,311
54.289815,312
54.309809,313
54.304432,314
54.354122,315
54.291402,316
54.300206,317
54.277940,318
54.270592,319
54.279506,320
54.314163,321
54.313887,322
54.246849,323
54.220590,324
54.189902,325
54.188088,326
54.207926,327
54.218459,328
54.277288,329
54.285460,330
54.330272,331
54.347726,332
54.374329,333
54.398301,334
54.409477,335
54.371177,336
54.341162,337
54.288357,338
54.282334,339
54.288009,340
54.258299,341
54.243548,342
54.211908,343
54.167796,344
54.164687,345
54.134737,346
54.124110,347
54.121266,348
54.134869,349
54.135450,350
54.117000,351
54.131617,352
54.139787,353
54.123908,354
54.107451,355
54.114278,356
54.057331,357
54.064422,358
54.045978,359
54.085792,360
54.074051,361
53.984102,362
53.990560,363
53.984628,364
53.989979,365
53.986796,366
53.961257,367
53.978413,368
53.977181,369
53.989684,370
54.020062,371
54.021632,372
54.008707,373
53.966175,374
53.969726,375
54.007295,376
53.981242,377
53.950782,378
53.966337,379
53.923037,380
53.903530,381
53.908776,382
53.933766,383
53.937027,384
53.949076,385
53.907560,386
53.888542,387
53.888489,388
53.916666,389
53.919617,390
53.915089,391
53.888884,392
53.906516,393
53.900473,394
53.911457,395
53.924576,396
53.893863,397
53.864635,398
53.856434,399
53.873133,400
53.868069,401
53.852246,402
53.860452,403
53.844177,404
53.821795,405
53.808514,406
53.808749,407
53.791614,408
53.814776,409
53.841567,410
53.852934,411
53.851084,412
53.861210,413
53.886798,414
53.853280,415
53.858389,416
53.924571,417
53.915514,418
53.939142,419
54.000624,420
54.013062,421
54.081393,422
54.112556,423
54.134531,424
54.145875,425
54.189456,426
54.239008,427
54.237483,428
54.261682,429
54.285482,430
54.295436,431
54.330333,432
54.313890,433
54.326683,434
54.363796,435
54.396535,436
54.436901,437
54.474250,438
54.505764,439
54.536268,440
54.554562,441
54.568605,442
54.605371,443
54.642222,444
54.691216,445
54.717732,446
54.778915,447
54.778832,448
54.781912,449
54.800202,450
54.802199,451
54.789896,452
54.789403,453
54.789734,454
54.811082,455
54.832411,456
54.811940,457
54.847867,458
54.845638,459
54.816639,460
54.799676,461
54.816646,462
54.790939,463
54.747074,464
54.753170,465
54.731389,466
54.723792,467
54.637525,468
54.588800,469
54.581291,470
54.623764,471
54.625335,472
