TSE,epoch
2.356879,0
2.459812,1
2.267149,2
2.214340,3
2.245733,4
2.111402,5
2.242349,6
2.240124,7
2.223702,8
2.285173,9
2.216299,10
2.231518,11
2.256679,12
2.113352,13
2.110593,14
2.068054,15
2.051645,16
1.813348,17
1.768661,18
1.728083,19
1.654494,20
1.657768,21
1.602829,22
1.461781,23
1.295856,24
1.269949,25
0.940200,26
0.736009,27
0.497248,28
0.329955,29
0.228100,30
0.158784,31
0.116358,32
0.091401,33
0.069107,34
0.058985,35
0.047012,36
0.041807,37
0.036242,38
0.032083,39
0.028697,40
0.026507,41
0.024353,42
0.022362,43
0.020830,44
0.019714,45
0.018628,46
0.017599,47
0.016643,48
0.015984,49
0.015277,50
0.014654,51
0.013972,52
0.013526,53
0.013010,54
0.012577,55
0.012068,56
0.011738,57
0.011344,58
0.011014,59
0.010623,60
0.010364,61
0.010055,62
0.009791,63
0.009481,64
0.009271,65
0.009022,66
0.008806,67
0.008553,68
0.008380,69
0.008175,70
0.007996,71
0.007784,72
0.007640,73
0.007468,74
0.007317,75
0.007138,76
0.007015,77
0.006869,78
0.006740,79
0.006586,80
0.006481,81
0.006355,82
0.006244,83
0.006111,84
0.006020,85
0.005910,86
0.005813,87
0.005697,88
0.005617,89
0.005521,90
0.005436,91
0.005333,92
0.005263,93
0.005178,94
0.005103,95
0.005012,96
0.004949,97
0.004873,98
0.004807,99
0.004725,100
0.004669,101
0.004601,102
0.004541,103
0.004468,104
0.004418,105
0.004357,106
0.004303,107
0.004237,108
0.004191,109
0.004136,110
0.004087,111
0.004027,112
0.003986,113
0.003936,114
0.003891,115
0.003836,116
0.003799,117
0.003753,118
0.003712,119
0.003662,120
0.003628,121
0.003586,122
0.003549,123
0.003503,124
0.003471,125
0.003432,126
0.003398,127
0.003356,128
0.003326,129
0.003291,130
0.003259,131
0.003220,132
0.003193,133
0.003160,134
0.003131,135
0.003095,136
0.003070,137
0.003039,138
0.003012,139
0.002978,140
0.002955,141
0.002927,142
0.002901,143
0.002870,144
0.002848,145
0.002822,146
0.002798,147
0.002769,148
0.002749,149
0.002724,150
0.002702,151
0.002674,152
0.002655,153
0.002632,154
0.002612,155
0.002586,156
0.002568,157
0.002546,158
0.002527,159
0.002503,160
0.002486,161
0.002466,162
0.002448,163
0.002425,164
0.002409,165
0.002390,166
0.002373,167
0.002351,168
0.002336,169
0.002318,170
0.002302,171
0.002282,172
0.002268,173
0.002251,174
0.002235,175
0.002216,176
0.002203,177
0.002187,178
0.002172,179
0.002154,180
0.002141,181
0.002126,182
0.002112,183
0.002095,184
0.002083,185
0.002069,186
0.002056,187
0.002039,188
0.002028,189
0.002014,190
0.002002,191
0.001986,192
0.001975,193
0.001962,194
0.001950,195
0.001936,196
0.001925,197
0.001913,198
0.001902,199
