TSE,epoch
2.328278,0
2.393241,1
2.277322,2
2.247719,3
2.197556,4
2.193519,5
2.239930,6
2.220502,7
2.217725,8
2.245208,9
2.227702,10
2.241512,11
2.250875,12
2.232940,13
2.252126,14
2.233317,15
2.246472,16
2.245419,17
2.255399,18
2.196596,19
2.149733,20
2.119525,21
2.057644,22
1.797553,23
1.615883,24
1.348686,25
0.866680,26
0.669279,27
0.350186,28
0.168817,29
0.104567,30
0.058912,31
0.034572,32
0.024781,33
0.019635,34
0.016120,35
0.013059,36
0.011558,37
0.010329,38
0.009585,39
0.008745,40
0.008306,41
0.007825,42
0.007544,43
0.007190,44
0.006990,45
0.006737,46
0.006581,47
0.006374,48
0.006244,49
0.006082,50
0.005968,51
0.005818,52
0.005714,53
0.005595,54
0.005502,55
0.005380,56
0.005290,57
0.005196,58
0.005116,59
0.005012,60
0.004933,61
0.004854,62
0.004783,63
0.004693,64
0.004623,65
0.004555,66
0.004492,67
0.004412,68
0.004350,69
0.004290,70
0.004234,71
0.004163,72
0.004107,73
0.004054,74
0.004004,75
0.003941,76
0.003891,77
0.003843,78
0.003797,79
0.003741,80
0.003695,81
0.003652,82
0.003611,83
0.003560,84
0.003518,85
0.003479,86
0.003441,87
0.003395,88
0.003357,89
0.003321,90
0.003287,91
0.003245,92
0.003210,93
0.003177,94
0.003146,95
0.003107,96
0.003075,97
0.003045,98
0.003016,99
0.002980,100
0.002951,101
0.002923,102
0.002896,103
0.002863,104
0.002836,105
0.002810,106
0.002786,107
0.002755,108
0.002730,109
0.002706,110
0.002683,111
0.002654,112
0.002631,113
0.002609,114
0.002587,115
0.002561,116
0.002539,117
0.002518,118
0.002498,119
0.002473,120
0.002453,121
0.002434,122
0.002415,123
0.002392,124
0.002373,125
0.002355,126
0.002337,127
0.002315,128
0.002297,129
0.002280,130
0.002264,131
0.002243,132
0.002226,133
0.002210,134
0.002195,135
0.002176,136
0.002160,137
0.002145,138
0.002130,139
0.002112,140
0.002097,141
0.002083,142
0.002069,143
0.002052,144
0.002038,145
0.002024,146
0.002011,147
0.001995,148
0.001981,149
0.001969,150
0.001956,151
0.001941,152
0.001928,153
0.001916,154
0.001904,155
0.001890,156
0.001878,157
0.001866,158
0.001855,159
0.001841,160
0.001830,161
0.001819,162
0.001808,163
0.001795,164
0.001784,165
0.001774,166
0.001764,167
0.001751,168
0.001741,169
0.001731,170
0.001721,171
0.001709,172
0.001699,173
0.001690,174
0.001681,175
0.001669,176
0.001660,177
0.001651,178
0.001642,179
0.001631,180
0.001622,181
0.001613,182
0.001605,183
0.001594,184
0.001586,185
0.001578,186
0.001570,187
0.001560,188
0.001551,189
0.001543,190
0.001536,191
0.001526,192
0.001518,193
0.001511,194
0.001503,195
0.001494,196
0.001486,197
0.001479,198
0.001472,199
