TSE,epoch
2.329799,0
2.019622,1
2.218769,2
2.248891,3
2.204705,4
2.312701,5
2.179219,6
2.196386,7
2.208578,8
2.143664,9
2.207210,10
2.198730,11
2.200057,12
2.233263,13
2.162855,14
2.161367,15
2.137683,16
2.079678,17
1.913550,18
1.734810,19
1.461757,20
1.031299,21
0.796883,22
0.402979,23
0.221081,24
0.114786,25
0.068586,26
0.048502,27
0.032732,28
0.023938,29
0.020119,30
0.017123,31
0.014606,32
0.012897,33
0.012082,34
0.011210,35
0.010456,36
0.009877,37
0.009554,38
0.009170,39
0.008827,40
0.008534,41
0.008337,42
0.008111,43
0.007895,44
0.007698,45
0.007548,46
0.007387,47
0.007223,48
0.007068,49
0.006944,50
0.006817,51
0.006681,52
0.006550,53
0.006444,54
0.006339,55
0.006222,56
0.006108,57
0.006016,58
0.005926,59
0.005823,60
0.005723,61
0.005643,62
0.005564,63
0.005473,64
0.005384,65
0.005314,66
0.005243,67
0.005162,68
0.005083,69
0.005020,70
0.004958,71
0.004885,72
0.004814,73
0.004757,74
0.004701,75
0.004636,76
0.004572,77
0.004521,78
0.004470,79
0.004410,80
0.004352,81
0.004306,82
0.004260,83
0.004206,84
0.004153,85
0.004111,86
0.004068,87
0.004019,88
0.003971,89
0.003932,90
0.003893,91
0.003848,92
0.003804,93
0.003768,94
0.003733,95
0.003691,96
0.003650,97
0.003617,98
0.003584,99
0.003546,100
0.003508,101
0.003478,102
0.003447,103
0.003412,104
0.003377,105
0.003349,106
0.003320,107
0.003288,108
0.003255,109
0.003229,110
0.003202,111
0.003172,112
0.003141,113
0.003117,114
0.003092,115
0.003064,116
0.003035,117
0.003012,118
0.002989,119
0.002963,120
0.002936,121
0.002914,122
0.002893,123
0.002868,124
0.002843,125
0.002823,126
0.002802,127
0.002779,128
0.002755,129
0.002736,130
0.002717,131
0.002695,132
0.002673,133
0.002655,134
0.002637,135
0.002616,136
0.002595,137
0.002579,138
0.002562,139
0.002542,140
0.002522,141
0.002506,142
0.002490,143
0.002472,144
0.002453,145
0.002438,146
0.002423,147
0.002405,148
0.002387,149
0.002373,150
0.002359,151
0.002342,152
0.002325,153
0.002311,154
0.002298,155
0.002282,156
0.002266,157
0.002253,158
0.002240,159
0.002225,160
0.002209,161
0.002197,162
0.002185,163
0.002170,164
0.002156,165
0.002144,166
0.002132,167
0.002119,168
0.002105,169
0.002094,170
0.002082,171
0.002069,172
0.002056,173
0.002045,174
0.002035,175
0.002022,176
0.002009,177
0.001999,178
0.001989,179
0.001977,180
0.001965,181
0.001955,182
0.001945,183
0.001934,184
0.001922,185
0.001913,186
0.001903,187
0.001892,188
0.001881,189
0.001872,190
0.001863,191
0.001853,192
0.001842,193
0.001833,194
0.001825,195
0.001815,196
0.001804,197
0.001796,198
0.001788,199
